Symptom,DangerCorrelation,DangerCoefficient
 abortion at the end of gestation,1.0,1.0259128386336867
 dizziness and fainting,1.0,1.0259128386336867
Abdminal pain,1.0,1.0259128386336867
Abdominal destention,1.0,1.0259128386336867
Abdominal discomfort,1.0,1.0259128386336867
Abdominal pain,1.0,1.0259128386336867
Abdonormal discomfort,1.0,1.0259128386336867
Abdonormal pain,1.0,1.0259128386336867
Abnormal behaviour,1.0,1.0259128386336867
Abnormal conformation,1.0,1.0259128386336867
Abnormalities,1.0,1.0259128386336867
Abnormally long leg,1.0,1.0259128386336867
Abortion,1.0,1.0259128386336867
Abortion ,1.0,1.0259128386336867
Abortion on late pregancy,1.0,1.0259128386336867
Achomotrica,1.0,1.0259128386336867
Acting aggressive,1.0,1.0259128386336867
Acting unnaturally tame,1.0,1.0259128386336867
Agalactia,1.0,1.0259128386336867
Aggressiveness,1.0,1.0259128386336867
Air sacculitis,1.0,1.0259128386336867
Allergic Reaction,1.0,1.0259128386336867
Anaemia,1.0,1.0259128386336867
Aneamia,1.0,1.0259128386336867
Anemia,0.9,0.923321554770318
Animal become lame,1.0,1.0259128386336867
Animal gets uneasy,1.0,1.0259128386336867
Animal stop feed,1.0,1.0259128386336867
Anorexia,0.9215686274509803,0.9454490865839856
Anoxeria,1.0,1.0259128386336867
Anversion to light,1.0,1.0259128386336867
Apathy,0.5,0.5129564193168433
Appetite,1.0,1.0259128386336867
Appetite varies,1.0,1.0259128386336867
Arthritis,1.0,1.0259128386336867
Asymptomatic,1.0,1.0259128386336867
Ataxia,1.0,1.0259128386336867
Attack,1.0,1.0259128386336867
Attacks,1.0,1.0259128386336867
Attempt to urinate,1.0,1.0259128386336867
Aversion to light,1.0,1.0259128386336867
Back Pain,1.0,1.0259128386336867
Bad breath,1.0,1.0259128386336867
Bad smell,1.0,1.0259128386336867
Balance problem,1.0,1.0259128386336867
Bald patches,1.0,1.0259128386336867
Barren ewes,1.0,1.0259128386336867
Beak overgrowth,1.0,1.0259128386336867
Behaviour change,1.0,1.0259128386336867
Berberi,1.0,1.0259128386336867
Bite other animals,1.0,1.0259128386336867
Black on ear,1.0,1.0259128386336867
Black stool,1.0,1.0259128386336867
Bleeding from other parts of the body,1.0,1.0259128386336867
Bleeding from the nose,1.0,1.0259128386336867
Bleeding in eye and skin,1.0,1.0259128386336867
Bleeding wounds,1.0,1.0259128386336867
Blindness,1.0,1.0259128386336867
Blister,1.0,1.0259128386336867
Blood Clots,1.0,1.0259128386336867
Blood Poisioning ,1.0,1.0259128386336867
Blood from mouth,1.0,1.0259128386336867
Blood in faces,1.0,1.0259128386336867
Blood in stool,1.0,1.0259128386336867
Blood in urine,1.0,1.0259128386336867
Blood on faces,1.0,1.0259128386336867
Blood stool,1.0,1.0259128386336867
Bloody,1.0,1.0259128386336867
